benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900085449219,-14.434906959533691 
benign_1,-103.17900848388672,-14.434928894042969 
benign_1,-103.17770385742188,-14.477492332458496 
benign_1,-103.17589569091797,-14.538414001464844 
benign_1,-103.17416381835938,-14.600020408630371 
benign_1,-103.16886138916016,-14.790010452270508 
benign_1,-103.16431427001953,-14.957625389099121 
benign_1,-103.14857482910156,-15.539809226989746 
benign_1,-103.13687896728516,-16.005817413330078 
benign_1,-103.12501525878906,-16.662269592285156 
benign_1,-103.12239837646484,-17.878969192504883 
benign_1,-103.10990905761719,-18.308500289916992 
benign_1,-103.094482421875,-18.791473388671875 
benign_1,-103.07765197753906,-19.200212478637695 
benign_1,-103.06310272216797,-19.5570011138916 
benign_1,-103.04094696044922,-20.066070556640625 
benign_1,-103.01667022705078,-20.4428768157959 
benign_1,-102.9914321899414,-20.882320404052734 
benign_1,-102.9647445678711,-21.332914352416992 
benign_1,-102.8812255859375,-22.3099308013916 
benign_1,-102.83536529541016,-22.855680465698242 
benign_1,-102.80901336669922,-23.125499725341797 
benign_1,-102.74279022216797,-23.74254608154297 
benign_1,-102.68852996826172,-24.226215362548828 
benign_1,-102.64054107666016,-24.66267204284668 
benign_1,-102.57943725585938,-25.12710189819336 
benign_1,-102.54388427734375,-25.387237548828125 
benign_1,-102.4791488647461,-25.859535217285156 
benign_1,-102.41016387939453,-26.34324836730957 
benign_1,-102.36161804199219,-26.64870834350586 
benign_1,-102.25115203857422,-27.280868530273438 
benign_1,-102.15315246582031,-27.81760025024414 
benign_1,-102.04802703857422,-28.39790153503418 
benign_1,-101.92304229736328,-28.99985122680664 
benign_1,-101.81851196289062,-29.49795913696289 
benign_1,-101.68221282958984,-30.141868591308594 
benign_1,-101.54022216796875,-30.72779655456543 
benign_1,-101.39230346679688,-31.319808959960938 
benign_1,-100.97581481933594,-32.888641357421875 
benign_1,-100.68619537353516,-33.75054931640625 
benign_1,-100.47354888916016,-34.30008316040039 
benign_1,-100.2480239868164,-34.874000549316406 
benign_1,-99.99349212646484,-35.52791976928711 
benign_1,-99.75164794921875,-36.1129150390625 
benign_1,-99.5380859375,-36.648067474365234 
benign_1,-99.34295654296875,-37.117488861083984 
benign_1,-99.13758850097656,-37.58884811401367 
benign_1,-98.9291763305664,-38.05827713012695 
benign_1,-98.82102966308594,-38.29844284057617 
benign_1,-98.5997543334961,-38.76568603515625 
benign_1,-98.33358001708984,-39.31686782836914 
benign_1,-98.12168884277344,-39.74869155883789 
benign_1,-97.92069244384766,-40.1572265625 
benign_1,-97.69693756103516,-40.58251190185547 
benign_1,-97.46800231933594,-41.008995056152344 
benign_1,-97.22528839111328,-41.45201873779297 
benign_1,-96.83255767822266,-42.11933135986328 
benign_1,-96.57728576660156,-42.54581832885742 
benign_1,-96.3071060180664,-42.98394775390625 
benign_1,-96.06310272216797,-43.36158752441406 
benign_1,-95.81565856933594,-43.74364471435547 
benign_1,-95.57222747802734,-44.11211395263672 
benign_1,-95.30123901367188,-44.50052261352539 
benign_1,-95.01849365234375,-44.880985260009766 
benign_1,-94.70830535888672,-45.309539794921875 
benign_1,-94.37056732177734,-45.778533935546875 
benign_1,-94.0692367553711,-46.16577911376953 
benign_1,-93.70652770996094,-46.603660583496094 
benign_1,-93.36395263671875,-46.99991989135742 
benign_1,-93.02686309814453,-47.37704849243164 
benign_1,-92.554931640625,-47.91201400756836 
benign_1,-92.21202087402344,-48.28934097290039 
benign_1,-91.90340423583984,-48.6103401184082 
benign_1,-91.56004333496094,-48.95841598510742 
benign_1,-91.20906066894531,-49.3087158203125 
benign_1,-91.00154876708984,-49.51095199584961 
benign_1,-90.79225158691406,-49.70625305175781 
benign_1,-90.39620208740234,-50.06586837768555 
benign_1,-89.99121856689453,-50.43204879760742 
benign_1,-89.30672454833984,-51.03731918334961 
benign_1,-88.85701751708984,-51.40286636352539 
benign_1,-88.42790985107422,-51.72004318237305 
benign_1,-87.6395492553711,-52.26318359375 
benign_1,-86.54663848876953,-52.953895568847656 
benign_1,-85.95695495605469,-53.28087615966797 
benign_1,-85.44552612304688,-53.56522750854492 
benign_1,-84.92750549316406,-53.855960845947266 
benign_1,-84.40343475341797,-54.14299011230469 
benign_1,-83.88948822021484,-54.40491485595703 
benign_1,-83.59395599365234,-54.55292892456055 
benign_1,-83.05078887939453,-54.82222366333008 
